subject,subject_code,date,from-time,to-time,status
"Graph Theory, and its Applications",UE20CS323,25-Nov-2022,13:30,14:30,X
"Graph Theory, and its Applications",UE20CS323,23-Nov-2022,10:45,11:45,✓
"Graph Theory, and its Applications",UE20CS323,23-Nov-2022,11:45,12:45,✓
"Graph Theory, and its Applications",UE20CS323,21-Nov-2022,14:30,15:30,✓
"Graph Theory, and its Applications",UE20CS323,18-Nov-2022,13:30,14:30,X
"Graph Theory, and its Applications",UE20CS323,18-Nov-2022,14:30,15:30,X
"Graph Theory, and its Applications",UE20CS323,16-Nov-2022,10:45,11:45,✓
"Graph Theory, and its Applications",UE20CS323,16-Nov-2022,11:45,12:45,✓
"Graph Theory, and its Applications",UE20CS323,14-Nov-2022,14:30,15:30,✓
"Graph Theory, and its Applications",UE20CS323,11-Nov-2022,13:30,14:30,X
"Graph Theory, and its Applications",UE20CS323,11-Nov-2022,14:30,15:30,X
"Graph Theory, and its Applications",UE20CS323,09-Nov-2022,10:45,11:45,✓
"Graph Theory, and its Applications",UE20CS323,09-Nov-2022,11:45,12:45,✓
"Graph Theory, and its Applications",UE20CS323,07-Nov-2022,14:30,15:30,X
"Graph Theory, and its Applications",UE20CS323,04-Nov-2022,13:30,14:30,X
"Graph Theory, and its Applications",UE20CS323,04-Nov-2022,14:30,15:30,X
"Graph Theory, and its Applications",UE20CS323,02-Nov-2022,10:45,11:45,X
"Graph Theory, and its Applications",UE20CS323,02-Nov-2022,11:45,12:45,X
"Graph Theory, and its Applications",UE20CS323,17-Oct-2022,14:30,15:30,✓
Data Analytics,UE2OCS312,29-Nov-2022,08:15,09:15,X
Data Analytics,UE2OCS312,29-Nov-2022,09:15,10:15,X
Data Analytics,UE2OCS312,24-Nov-2022,10:45,11:45,✓
Data Analytics,UE2OCS312,24-Nov-2022,11:45,12:45,✓
Data Analytics,UE2OCS312,23-Nov-2022,13:30,14:30,✓
Data Analytics,UE2OCS312,22-Nov-2022,08:15,09:15,✓
Data Analytics,UE2OCS312,22-Nov-2022,09:15,10:15,✓
Data Analytics,UE2OCS312,17-Nov-2022,10:45,11:45,X
Data Analytics,UE2OCS312,17-Nov-2022,11:45,12:45,X
Data Analytics,UE2OCS312,16-Nov-2022,13:30,14:30,X
Data Analytics,UE2OCS312,15-Nov-2022,08:15,09:15,✓
Data Analytics,UE2OCS312,15-Nov-2022,09:15,10:15,✓
Data Analytics,UE2OCS312,10-Nov-2022,10:45,11:45,✓
Data Analytics,UE2OCS312,10-Nov-2022,11:45,12:45,✓
Data Analytics,UE2OCS312,09-Nov-2022,13:30,14:30,✓
Data Analytics,UE2OCS312,08-Nov-2022,08:15,09:15,✓
Data Analytics,UE2OCS312,08-Nov-2022,09:15,10:15,✓
Data Analytics,UE2OCS312,03-Nov-2022,10:45,11:45,X
Data Analytics,UE2OCS312,03-Nov-2022,11:45,12:45,X
Data Analytics,UE2OCS312,02-Nov-2022,13:30,14:30,X
Data Analytics,UE2OCS312,28-Oct-2022,08:15,09:15,X
Data Analytics,UE2OCS312,28-Oct-2022,09:15,10:15,X
Data Analytics,UE2OCS312,20-Oct-2022,10:45,11:45,✓
Data Analytics,UE2OCS312,20-Oct-2022,11:45,12:45,✓
Data Analytics,UE2OCS312,19-Oct-2022,13:30,14:30,✓
Data Analytics,UE2OCS312,18-Oct-2022,08:15,09:15,✓
Data Analytics,UE2OCS312,18-Oct-2022,09:15,10:15,✓
Data Analytics,UE2OCS312,13-Oct-2022,10:45,11:45,X
Data Analytics,UE2OCS312,13-Oct-2022,11:45,12:45,X
Data Analytics,UE2OCS312,12-Oct-2022,13:30,14:30,✓
